ef,recall,qps,dist_comp
1700,0.9819,85.783,5161.83
1400,0.9791,115.215,4449.26
1100,0.9728,164.689,3695.19
1000,0.97,189.826,3433.58
900,0.9664,220.261,3163.94
800,0.9619,260.663,2888.04
700,0.9552,313.663,2604.83
600,0.9465,385.892,2313.33
500,0.9317,491.639,2012.37
400,0.9127,659.901,1698.93
300,0.8859,944.335,1369.74
250,0.8649,1160.58,1197.01
200,0.837,1485.41,1018.23
180,0.8235,1669.59,944.548
160,0.8081,1866.23,868.051
140,0.7896,2121.81,790.425
120,0.7644,2472.19,710.381
100,0.7345,2931.34,628.202
90,0.716,3201.68,585.649
80,0.696,3514.93,542.138
70,0.6754,3937.74,497.521
60,0.6501,4440.35,451.694
55,0.6338,4754.66,428.29
50,0.6175,5092.96,404.281
45,0.6001,5539.27,379.719
40,0.5839,5986.21,355.215
35,0.5623,6492.97,329.104
30,0.5385,6957.75,302.78
25,0.5176,7946.43,275.969
20,0.4904,8909.18,245.977
15,0.4615,10341.7,215.897
10,0.422,12065.3,182.873
