ef,recall,qps,dist_comp
1700,0.057,2414.92,202.788
1400,0.057,2655.97,198.263
1100,0.057,3238.73,189.967
1000,0.057,3500.67,186.66
900,0.057,3911.02,182.845
800,0.057,4481.68,177.326
700,0.0569,5021.18,170.805
600,0.0566,6065.02,162.593
500,0.0564,7246.82,152.303
400,0.0563,9195.09,139.198
300,0.0557,12537.7,115.213
250,0.0544,16848.1,98.535
200,0.0534,21340.5,84.789
180,0.0531,23136.3,77.528
160,0.0526,27879.1,70.285
140,0.0522,31530.1,64.238
120,0.0517,31055.7,59.207
100,0.051,38422.1,53.544
90,0.0507,45202.7,49.62
80,0.0504,48455.7,46.592
70,0.0504,52901.6,42.337
60,0.05,62382.2,37.868
55,0.0499,62357,36.506
50,0.0499,65568.3,34.347
45,0.0498,70550.6,32.794
40,0.0498,80160.8,31.101
35,0.0498,83667.7,28.41
30,0.0497,96075.5,26.211
25,0.0496,99307.8,24.489
20,0.0487,129011,18.849
15,0.0485,140205,16.096
10,0.0482,176739,13.724
