efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.2442,243.389,7.8594,2034.9
1400,0.2329,287.42,7.89847,1744.82
1100,0.2215,387.656,7.955,1447.27
1000,0.2166,432.994,7.97213,1344.7
900,0.2114,458.446,7.98028,1239.74
800,0.2054,537.561,8.00078,1133.04
700,0.199,621.895,8.01696,1023.43
600,0.1917,724.722,8.03165,910.91
500,0.1844,867.16,8.0463,793.769
400,0.1775,1078.81,8.06097,672.194
300,0.1699,1412.12,8.07522,547.407
250,0.1646,1656.25,8.08203,481.065
200,0.1599,2038.23,8.08943,410.982
180,0.1585,2255.44,8.09252,380.903
160,0.156,2513.94,8.09551,349.757
140,0.1509,2832.3,8.09844,317.612
120,0.1418,3241.91,8.10136,284.919
100,0.1366,3785.87,8.10427,250.095
90,0.1319,4064.81,8.10546,231.842
80,0.1271,4472.44,8.10694,212.744
70,0.121,5103.66,8.10876,193.093
60,0.1142,5650.87,8.11,172.833
55,0.1093,5980.57,8.11064,162.339
50,0.1043,6604.84,8.11168,151.514
45,0.1004,7224.3,8.11254,140.403
40,0.0953,7855.02,8.11327,128.777
35,0.0879,8709.28,8.11409,116.671
30,0.0813,9729.71,8.11489,104.313
25,0.0726,11121.1,8.11573,91.454
20,0.0631,12949,8.11657,77.988
15,0.0495,15429.9,8.11739,64.153
10,0.0296,19351.3,8.11825,49.106
