ef,recall,qps,dist_comp
1700,0.6557,89.005,3298.31
1400,0.6501,111.732,2982.29
1100,0.6442,147.852,2632.46
1000,0.6416,163.979,2502.06
900,0.6384,188.655,2365.36
800,0.6348,215.621,2221.27
700,0.6311,251.443,2069.91
600,0.6259,303.629,1903.19
500,0.6188,384.485,1718.88
400,0.61,477.616,1530.47
300,0.5963,681.164,1313.33
250,0.5872,831.027,1195.76
200,0.573,1050.1,1069.36
180,0.5688,1166.05,1017.06
160,0.5629,1278.91,960.225
140,0.5562,1524.88,900.271
120,0.5487,1698.07,839.388
100,0.5386,2085.83,768.926
90,0.5308,2292.72,732.458
80,0.5234,2557.81,691.187
70,0.507,3062.04,639.128
60,0.4999,3515.44,591.739
55,0.4939,3845.66,565.502
50,0.4879,4135.75,541.114
45,0.482,4550.78,514.245
40,0.4735,5036.37,485.659
35,0.4638,5725.13,455.736
30,0.4525,6457.3,424.983
25,0.4426,7326.32,394.631
20,0.4271,8075.54,358.842
15,0.4052,10502.5,321.763
10,0.3791,12001.3,277.08
