efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.014,307.107,34.4043,1156.16
1400,0.014,366.456,35.0401,1029.66
1100,0.014,453.094,35.6927,897.285
1000,0.014,487.074,35.8899,848.215
900,0.014,543.083,36.1647,797.88
800,0.014,603.388,36.407,743.79
700,0.014,675.811,36.644,688.355
600,0.014,771.611,36.8923,633.26
500,0.014,897.727,37.1418,575.14
400,0.014,1091.66,37.4168,503.53
300,0.014,1385.66,37.6909,428.395
250,0.014,1617.9,37.8387,385.16
200,0.014,1943.11,37.9874,339.04
180,0.014,2120.94,38.0497,318.11
160,0.014,2332.22,38.1117,296.55
140,0.014,2608.55,38.1778,273.735
120,0.0135,2961.56,38.2445,249.775
100,0.014,3392.48,38.3073,226.5
90,0.014,3695.83,38.3429,213.605
80,0.014,4043.5,38.3771,200.955
70,0.014,4443.54,38.4099,187.77
60,0.0145,4938.4,38.4432,173.99
55,0.0145,5196.69,38.4581,165.795
50,0.0145,5623.33,38.4797,157.485
45,0.016,6065.21,38.4989,148.745
40,0.0155,6607.18,38.5189,139.245
35,0.0155,7256.08,38.539,129.085
30,0.017,8108.38,38.5606,118.14
25,0.018,9276.87,38.5837,106.14
20,0.017,10858.9,38.6071,93.495
15,0.017,13131.8,38.6308,78.975
10,0.0145,17161.3,38.6575,61.665
