ef,recall,qps,dist_comp
1700,0.068,107.359,2962.2
1400,0.068,140.53,2621.95
1100,0.068,205.505,2163.47
1000,0.068,231.273,1970.62
900,0.068,271.954,1797.19
800,0.068,323.58,1627.04
700,0.068,391.268,1443.36
600,0.0685,500.75,1284.4
500,0.0685,630.135,1135.61
400,0.0685,758.082,986.94
300,0.0685,1085.32,840.49
250,0.0685,1197.95,765.15
200,0.0685,1567.54,686.855
180,0.0685,1714.03,660.07
160,0.0685,1717.88,626.65
140,0.0685,2042.04,602.435
120,0.0685,2186.93,580.81
100,0.0685,2447.26,557.49
90,0.0685,2623.43,545.19
80,0.0695,2512.36,534.335
70,0.0695,2612,522.525
60,0.0695,3150.78,508.94
55,0.0695,3266.46,502.75
50,0.0695,3021.47,493.805
45,0.0695,3523.81,486.04
40,0.0695,3634.77,479.8
35,0.0695,3807.1,473.42
30,0.0695,3789.4,465.675
25,0.0695,4064.49,454.175
20,0.07,4319.64,443.325
15,0.07,4573.4,433.48
10,0.071,4905.98,419.545
