ef,recall,qps,dist_comp,hops
1700,0.002,74,12567.035,1338.27
1400,0.002,88,10871.905,1106.37
1100,0.001,95,9057.125,874.125
1000,0.001,100,8438.765,796.05
900,0.001,109,7792.12,717.7
800,0.0,120,7138.915,640.265
700,0.0,133,6469.845,563.025
600,0.0,150,5774.995,484.75
500,0.0,173,5044.445,405.655
400,0.0,208,4272.78,327.515
300,0.0,263,3451.285,246.68
250,0.0,308,3035.875,208.31
200,0.0,370,2570.185,167.455
180,0.0,403,2379.71,151.785
160,0.0,443,2179.1,135.015
140,0.0,492,1978.75,119.51
120,0.0,550,1765.145,103.67
100,0.0,638,1547.565,87.58
90,0.0,695,1428.805,79.405
80,0.0,763,1305.99,71.21
70,0.0,844,1188.29,63.655
60,0.0,939,1070.725,55.875
55,0.0,997,1001.385,51.76
50,0.0,1075,937.825,47.425
45,0.0,1172,859.785,43.055
40,0.0,1276,790.505,38.99
35,0.0,1421,708.59,34.525
30,0.0,1605,624.835,30.09
25,0.0,1798,540.205,25.485
20,0.0,2114,454.655,21.16
15,0.0,2570,366.335,16.75
10,0.0,3511,260.675,11.825
