ef,recall,qps,dist_comp,hops
1700,0.015,84,11270.99,1293.785
1400,0.015,99,9826.99,1066.94
1100,0.014,119,8275.985,838.755
1000,0.014,128,7736.24,763.3
900,0.014,139,7177.88,687.62
800,0.014,152,6603.555,612.085
700,0.012,169,5990.36,536.54
600,0.012,192,5354.67,460.49
500,0.012,220,4691.905,384.935
400,0.012,264,3999.85,310.425
300,0.01,329,3264.68,236.62
250,0.01,384,2860.625,197.335
200,0.009,460,2426.955,160.3
180,0.009,504,2250.175,145.435
160,0.008,544,2072.205,130.325
140,0.007,612,1877.435,113.945
120,0.007,704,1661.58,97.76
100,0.006,814,1452.015,82.845
90,0.006,883,1344.4,75.465
80,0.006,982,1232.76,68.105
70,0.006,1079,1126.485,60.635
60,0.006,1222,998.85,52.445
55,0.006,1300,937.76,48.485
50,0.006,1390,879.36,44.97
45,0.005,1499,815.41,41.185
40,0.005,1670,730.455,36.485
35,0.005,1806,665.865,32.905
30,0.004,2033,594.15,29.095
25,0.004,2268,531.865,25.675
20,0.003,2744,431.3,20.735
15,0.002,3327,349.665,16.385
10,0.002,4353,256.985,11.755
