Loaded fvecs: 200 vectors of dimension 512 from ./quantile_partitions/LAION1M_containment/LAION1M_containment_Q4_query.fvecs
Loaded label sets: 200
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
972689,543069,474541,414783,979325,136670,526707,543501,273903,511053,
ef,recall,qps,dist_comp,hops
10000,1,23.766,44880.9,10000
5000,1,40.1128,32449.6,5000.35
3000,0.999,58.6499,23900.9,3000.28
2500,0.9985,67.4964,21182.2,2500.3
2000,0.9975,82.5023,18117.8,2000.53
1700,0.9965,92.8448,16091.9,1700.63
1400,0.996,112.224,13906.9,1400.96
1100,0.994,142.54,11523.3,1100.88
1000,0.993,146.063,10676.9,1000.98
900,0.992,164.003,9800.09,900.97
800,0.9905,191.204,8898.15,801.175
700,0.988,206.135,7959.55,701.175
600,0.9875,246.679,6989.46,601.435
500,0.9865,294.356,5982.01,501.6
400,0.982,336.264,4931.16,401.995
300,0.9745,475.732,3824.66,302.12
250,0.968,563.241,3255.47,252.51
200,0.9625,695.439,2668.94,202.68
180,0.9585,766.488,2431.28,182.855
160,0.955,742.689,2193.83,163.2
140,0.9485,946.154,1951.51,143.615
120,0.94,1110.44,1699.8,123.575
100,0.9275,1311.01,1450.37,103.93
90,0.919,1442.74,1323.78,94.16
80,0.91,1603.75,1196.33,84.355
70,0.9025,1796,1073.74,74.93
60,0.8905,1492.94,947.135,65.245
55,0.8815,2180.04,881.565,60.33
50,0.874,2380.4,816.925,55.51
45,0.8565,2610.79,748.22,50.42
40,0.842,2856.38,683.395,45.645
35,0.823,3184.47,618.145,40.905
30,0.8075,3419.07,576.265,37.81
25,0.8075,3431.14,576.265,37.81
20,0.8075,3433.07,576.265,37.81
15,0.8075,3430.71,576.265,37.81
10,0.8075,3431.29,576.265,37.81
