Loaded fvecs: 200 vectors of dimension 512 from ./quantile_partitions/LAION1M_equality/LAION1M_equality_Q2_query.fvecs
Loaded label sets: 200
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
340058,959539,422126,149702,978682,942111,190265,536720,224635,806291,
ef,recall,qps,dist_comp,hops
10000,1,4569.73,381.375,381.375
5000,1,4747.41,381.375,381.375
3000,1,4736.37,381.375,381.375
2500,1,4733.53,381.375,381.375
2000,1,4725.01,381.375,381.375
1700,1,4741.48,381.375,381.375
1400,1,4742.95,381.375,381.375
1100,1,4603.13,381.375,381.375
1000,1,4748.75,381.375,381.375
900,1,4763.56,381.375,381.375
800,1,4762.61,381.37,380.875
700,1,4770.59,381.26,375.745
600,1,4839.79,380.77,365.28
500,1,4957.31,378.945,341.655
400,1,5166,374.385,308.81
300,1,5619.05,364.645,257.93
250,1,5950.86,355.535,227.75
200,1,6472.85,341.19,192.69
180,1,6738.71,333.71,176.565
160,1,7032.17,324.425,158.83
140,1,7487.46,313.455,140.095
120,0.9995,8022.46,300.185,120.335
100,0.9995,8757.68,283.16,100.44
90,0.9985,9288.01,272.74,90.51
80,0.9985,9828.04,261.19,80.545
70,0.998,10616.1,248.1,70.635
60,0.9975,11528.4,232.665,60.66
55,0.997,12093.4,224.295,55.775
50,0.997,12689.7,215.185,50.845
45,0.997,13562.8,204.78,45.94
40,0.996,14375.8,193.09,40.975
35,0.9945,15520.8,180.36,36.095
30,0.9925,17076.8,166.75,31.28
25,0.9875,19025,150.785,26.43
20,0.9765,21832.7,133.535,21.62
15,0.963,26051.7,113.94,16.885
10,0.917,32880.8,91.87,12.36
