Loaded fvecs: 200 vectors of dimension 512 from ./quantile_partitions/LAION1M_overlap/LAION1M_overlap_Q1_query.fvecs
Loaded label sets: 200
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
951083,109347,466666,341673,85432,730843,226310,100000,575618,891426,
ef,recall,qps,dist_comp,hops
10000,1,19.5412,76881.2,10000.5
5000,1,35.6424,47654.1,5000.62
3000,1,56.3809,32091.9,3001.33
2500,1,66.7955,27665.6,2501.14
2000,0.999,82.083,22979.2,2001.61
1700,0.9985,92.6659,20014.2,1701.53
1400,0.997,109.395,16929.5,1401.62
1100,0.9955,130.216,13704.8,1102.13
1000,0.993,145.777,12592.9,1001.93
900,0.991,177.175,11466,902.065
800,0.99,198.213,10320.6,802.195
700,0.9895,223.907,9157.47,702.45
600,0.9875,259.559,7971.05,602.865
500,0.9865,309.605,6758.68,502.93
400,0.9865,373.745,5515.51,403.26
300,0.983,502.669,4250.85,304.04
250,0.98,596.604,3591.49,253.865
200,0.976,712.743,2930.36,204.07
180,0.9725,816.629,2662.59,184.23
160,0.9665,920.057,2393.84,164.5
140,0.9625,1040.64,2121.68,144.74
120,0.9555,1201.6,1843.71,124.775
100,0.949,1343.62,1569.18,104.995
90,0.9425,1528.13,1431.81,95.285
80,0.9275,1737.41,1288.95,85.15
70,0.914,1952.26,1153.14,75.58
60,0.897,2231.2,1012.26,65.865
55,0.889,2412.91,941.37,60.91
50,0.883,2596.97,870.92,56.065
45,0.871,2834.2,797.51,50.97
40,0.86,3118.24,726.93,46.135
35,0.8465,3471.97,655.83,41.325
30,0.8365,3717.2,615.485,38.55
25,0.8365,3719.14,615.485,38.55
20,0.8365,3742.94,615.485,38.55
15,0.8365,3734.12,615.485,38.55
10,0.8365,3708.95,615.485,38.55
