ef,recall,qps,distance_computations_per_query
1700,0.9935,44.3066,29696.4
1400,0.992,51.8807,25657.1
1100,0.9895,62.7746,21333.1
1000,0.989,67.8196,19810.3
900,0.987,73.8552,18252.5
800,0.986,81.0373,16640.8
700,0.9845,90.4159,14991.7
600,0.9825,102.093,13272.2
500,0.9785,118.483,11477.7
400,0.9695,142.755,9578.92
300,0.9615,180.505,7576.32
250,0.9535,211.416,6520.07
200,0.9405,255.428,5423.06
180,0.935,261.78,4977.06
160,0.9225,302.115,4508.81
140,0.9125,338.983,4040.99
120,0.896,386.1,3560.41
100,0.877,449.438,3060.4
90,0.8655,492.611,2803.97
80,0.853,539.084,2542.89
70,0.8335,584.795,2290
60,0.8095,687.285,2032.21
55,0.786,746.269,1895.52
50,0.774,806.452,1758.59
45,0.757,881.057,1618.5
40,0.7415,904.977,1482.9
35,0.717,1063.83,1338.63
30,0.688,1212.12,1194.08
25,0.659,1388.89,1050.34
20,0.6125,1639.34,894.73
15,0.562,2020.2,738.34
10,0.464,2702.7,566.46
