ef,recall,qps,distance_computations_per_query
1700,0.993,16.2311,79383.9
1400,0.99,18.8271,68933.5
1100,0.9885,22.6732,57691.8
1000,0.9885,24.3932,53725.1
900,0.9865,26.4866,49625
800,0.985,29.0107,45420.2
700,0.984,32.2165,41045.9
600,0.978,36.324,36469.7
500,0.9765,41.9903,31674.7
400,0.971,50.1756,26635.1
300,0.963,63.4518,21223.2
250,0.9555,73.6377,18357.4
200,0.946,88.8494,15360.1
180,0.9395,96.8523,14116.7
160,0.932,107.009,12833.9
140,0.926,119.904,11525
120,0.914,136.893,10178
100,0.897,159.872,8773.31
90,0.8885,175.131,8053.6
80,0.8745,192.493,7333.65
70,0.8585,215.983,6585.43
60,0.8395,245.399,5824.32
55,0.8235,263.505,5430.49
50,0.806,284.9,5041.77
45,0.7865,309.598,4660.48
40,0.769,341.88,4245.58
35,0.7425,381.679,3819.07
30,0.7185,431.034,3403.61
25,0.6865,497.512,2974.61
20,0.6425,588.235,2542.83
15,0.5825,729.927,2085.13
10,0.522,985.222,1597.98
