Loaded fvecs: 200 vectors of dimension 960 from ./quantile_partitions/gist1m_containment/gist1m_containment_Q1_query.fvecs
Loaded label sets: 200
Loaded label sets: 1000000
Loaded fvecs: 1000000 vectors of dimension 960 from /root/work/data/vecs/gist1m/gist_base.fvecs
Rebuilding two-tier inverted index for 2385 labelsets...
Found 12 unique labels
Two-tier index configuration:
  Tier 1 (dense): 12 labels (freq >= 891)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 3.39746e-06 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
70387,293725,11,30245,886142,585240,102818,490300,243924,685274,
ef,recall,qps,dist_comp,hops
1700,1,282.879,2810.39,1301.6
1400,0.9995,316.997,2658.99,1114.09
1100,0.9995,366.465,2462.49,913.33
1000,0.9985,390.364,2383.47,843.145
900,0.9985,416.272,2295.06,770.79
800,0.9975,446.967,2194.3,697.355
700,0.9975,488.061,2080.61,618.98
600,0.9965,540.502,1948.99,537.135
500,0.996,607.545,1796.1,454.045
400,0.992,708.048,1615.93,369.355
300,0.9855,859.729,1397.6,282.295
250,0.981,980.205,1266.92,237.83
200,0.9725,1145.43,1116.66,192.215
180,0.969,1239.29,1049.96,173.93
160,0.962,1348.41,978.195,155.635
140,0.956,1470.89,903.06,137.345
120,0.9435,1626.81,819.965,118.79
100,0.928,1892.36,729.72,99.665
90,0.919,2030.15,682.78,90.105
80,0.9115,2209.24,632.715,80.44
70,0.904,2469.38,580.43,70.925
60,0.8835,2762.43,526.13,61.57
55,0.872,2945.94,497.655,56.815
50,0.8585,3165.84,466.465,51.925
45,0.84,3427.86,436.215,47.27
40,0.817,3720.4,403.205,42.515
35,0.7905,4111.47,369.21,37.66
30,0.77,4386.64,349.285,34.645
25,0.77,4398.18,348.97,34.31
20,0.77,4398.32,348.835,34.12
15,0.7695,4341.48,348.56,33.95
10,0.769,4271.76,348.48,33.875
