Loaded fvecs: 200 vectors of dimension 960 from ./quantile_partitions/gist1m_equality/gist1m_equality_Q4_query.fvecs
Loaded label sets: 200
Loaded label sets: 1000000
Loaded fvecs: 1000000 vectors of dimension 960 from /root/work/data/vecs/gist1m/gist_base.fvecs
Rebuilding two-tier inverted index for 2385 labelsets...
Found 12 unique labels
Two-tier index configuration:
  Tier 1 (dense): 12 labels (freq >= 891)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 3.39746e-06 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
310396,312120,323334,541761,888254,189949,597215,145099,840073,788287,
ef,recall,qps,dist_comp,hops
1700,0.997,250.252,7187.07,1701.67
1400,0.996,289.488,6327.75,1401.85
1100,0.994,351.89,5381.76,1101.95
1000,0.994,379.424,5045.61,1002.03
900,0.9935,412.642,4692.19,902.15
800,0.993,452.734,4326.31,802.265
700,0.993,504.588,3938.34,702.345
600,0.9885,567.701,3529.64,602.48
500,0.9855,659.469,3094.3,502.56
400,0.9795,793.38,2630.1,402.78
300,0.9715,1003.72,2124.58,303.04
250,0.9625,1164.12,1853.23,253.23
200,0.954,1400.3,1562.94,203.495
180,0.95,1528.36,1443.18,183.565
160,0.9445,1683.85,1318.84,163.805
140,0.9375,1868.69,1190.83,143.97
120,0.926,2121.58,1056.76,124.09
100,0.908,2460.34,917.45,104.355
90,0.897,2675.57,846.33,94.59
80,0.8775,2920.26,772.615,84.64
70,0.8645,3249.92,698.045,74.98
60,0.8445,3658.8,620.705,65.095
55,0.832,3898.9,581.82,60.34
50,0.813,4228.14,540.595,55.38
45,0.7985,4543.06,502.29,50.77
40,0.7765,4941.98,461.765,45.975
35,0.748,5465.06,419.625,41.16
30,0.7245,6086.59,378.965,36.71
25,0.6845,6915.35,333.965,31.67
20,0.645,7948.41,291.79,27.195
15,0.5825,9607.74,244.735,22.32
10,0.4925,12201.1,195.035,17.37
