Loaded fvecs: 200 vectors of dimension 960 from ./quantile_partitions/gist1m_overlap/gist1m_overlap_Q2_query.fvecs
Loaded label sets: 200
Loaded label sets: 1000000
Loaded fvecs: 1000000 vectors of dimension 960 from /root/work/data/vecs/gist1m/gist_base.fvecs
Rebuilding two-tier inverted index for 2385 labelsets...
Found 12 unique labels
Two-tier index configuration:
  Tier 1 (dense): 12 labels (freq >= 891)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 3.39746e-06 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
213150,968860,222593,213165,412913,485321,101992,273,465973,351558,
ef,recall,qps,dist_comp,hops
1700,0.984,72.5231,23371.9,1702.08
1400,0.9795,87.5314,19599.8,1402.51
1100,0.971,110.116,15717.5,1102.85
1000,0.9655,120.937,14389.7,1002.9
900,0.961,133.752,13046.2,903.02
800,0.95,149.83,11694,803.305
700,0.9385,170.764,10318.1,703.515
600,0.928,198.09,8929.27,603.77
500,0.9075,237.149,7520,503.985
400,0.8785,294.61,6096.73,404.475
300,0.8365,388.296,4656.88,305.575
250,0.814,461.415,3924.01,255.96
200,0.773,571.237,3193.73,206.83
180,0.756,631.509,2898.09,187.05
160,0.742,699.678,2623.49,168.755
140,0.716,793.822,2315.38,148.33
120,0.6915,911.988,2025.07,129.085
100,0.661,1076.04,1723.19,109.25
90,0.638,1180.74,1576.24,99.57
80,0.6135,1308.06,1428.65,89.97
70,0.5875,1469.98,1277.16,80.1
60,0.551,1667.79,1127.06,70.34
55,0.536,1799.21,1051.53,65.445
50,0.5225,1933.01,979.665,60.8
45,0.504,2109.87,901.7,55.755
40,0.4735,2323.54,817.65,50.305
35,0.447,2591.51,739.285,45.25
30,0.4325,2759.65,694.415,42.355
25,0.4325,2765.53,694.415,42.355
20,0.4325,2771.04,694.415,42.355
15,0.4325,2756.1,694.415,42.355
10,0.4325,2748.5,694.415,42.355
