Loaded fvecs: 200 vectors of dimension 512 from ./quantile_partitions/LAION1M_containment/LAION1M_containment_Q5_query.fvecs
Loaded label sets: 200
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
354839,195979,321792,287965,821556,112728,872387,993217,435346,241762,
ef,recall,qps,dist_comp,hops
1700,0.9935,90.7676,21366.4,1703.69
1400,0.9935,111.794,17964.9,1403.52
1100,0.9925,137.956,14468.3,1103.96
1000,0.9915,150.913,13266.6,1003.53
900,0.9905,167.384,12064,903.685
800,0.9895,191.122,10849.5,803.83
700,0.989,217.32,9610.2,704.04
600,0.989,252.054,8354.8,604.23
500,0.9865,290.504,7080.94,504.825
400,0.9845,359.749,5775.69,404.94
300,0.9795,490.867,4440.83,305.4
250,0.9725,585.044,3760.97,255.53
200,0.9645,722.392,3074.65,206.265
180,0.964,796.224,2799.72,186.725
160,0.955,885.652,2515.93,166.55
140,0.949,1009.7,2221.49,145.95
120,0.945,1162.69,1933.99,126.05
100,0.938,1373.86,1645.79,106.275
90,0.9335,1512.44,1502.82,96.465
80,0.926,1670.15,1357.29,86.64
70,0.9205,1877.19,1211.43,76.815
60,0.9115,2004.6,1068.84,67.245
55,0.9065,2039.45,996.285,62.44
50,0.8965,2431.07,923.105,57.57
45,0.8895,2681.19,850.44,52.7
40,0.88,2930.43,776.34,47.82
35,0.8695,3262.03,702.79,42.97
30,0.863,3489.01,658.865,40.12
25,0.863,3487.15,658.865,40.12
20,0.863,3484.71,658.865,40.12
15,0.863,3485.89,658.865,40.12
10,0.863,3467.24,658.865,40.12
