Loaded fvecs: 200 vectors of dimension 512 from ./quantile_partitions/LAION1M_overlap/LAION1M_overlap_Q4_query.fvecs
Loaded label sets: 200
Loaded label sets: 1000448
Loaded fvecs: 1000448 vectors of dimension 512 from /root/work/data/filterbenchmark/LAION1M/LAION1M_base.fvecs
Rebuilding two-tier inverted index for 62066 labelsets...
Found 30 unique labels
Two-tier index configuration:
  Tier 1 (dense): 30 labels (freq >= 5515)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.000216812 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
317690,410443,24197,722442,967253,240483,843086,227567,178697,16850,
ef,recall,qps,dist_comp,hops
1700,0.9945,89.2761,23417.1,1704.55
1400,0.9935,109.079,19580.9,1404.82
1100,0.9925,138.819,15664,1104.77
1000,0.9925,152.452,14334.6,1004.97
900,0.9925,169.117,12993.2,905.095
800,0.991,190.146,11640.5,805.26
700,0.9905,217.577,10271.7,705.42
600,0.988,253.019,8890.98,605.62
500,0.9835,302.625,7493.45,505.84
400,0.9815,375.38,6081.56,406.18
300,0.9725,497.271,4646.4,306.375
250,0.9685,593.968,3925.04,256.83
200,0.964,733.621,3197.95,207.395
180,0.9605,809.707,2906.03,187.66
160,0.9585,906.347,2608.18,167.64
140,0.9505,1025.98,2313.47,147.96
120,0.9415,1182.52,2015.23,128.215
100,0.934,1398.36,1715.05,108.31
90,0.927,1535.21,1566.14,98.51
80,0.916,1707.29,1413.12,88.465
70,0.908,1914.74,1264.4,78.76
60,0.893,2184.67,1113.09,68.87
55,0.888,2350.58,1039.44,64.065
50,0.877,2537.21,966.585,59.345
45,0.8625,2782.79,884.595,54.03
40,0.849,3050.82,809.45,49.21
35,0.8355,3394.05,733.975,44.38
30,0.8275,3625.25,688.67,41.48
25,0.8275,3621.14,688.67,41.48
20,0.8275,3626.85,688.67,41.48
15,0.8275,3634.03,688.67,41.48
10,0.8275,3634.19,688.67,41.48
