Loaded fvecs: 2000 vectors of dimension 128 from ./quantile_partitions/sift1m_containment/sift1m_containment_Q2_query.fvecs
Loaded label sets: 2000
Loaded label sets: 1000000
Loaded fvecs: 1000000 vectors of dimension 128 from /root/work/data/vecs/sift1m/sift_base.fvecs
Rebuilding two-tier inverted index for 2385 labelsets...
Found 12 unique labels
Two-tier index configuration:
  Tier 1 (dense): 12 labels (freq >= 891)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 3.39746e-06 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!

========== MinHash Configuration ==========
Hash functions: 512
Bits per hash:  2 bits
Signature size: 128 bytes per labelset
LSH bands:      64 bands × 8 hashes/band
Bucket space:   2^16 = 65536 buckets per band
Est. memory:    73.2422 MB for 600K labelsets
===========================================

Loaded ground truth: 2000
Example: first query has 10
444523,112384,352552,39778,661922,83127,644026,663655,489072,132728,
ef,recall,qps,dist_comp,hops
1700,0.99995,257.268,7127.22,1700.12
1400,0.99995,307.605,6480.71,1400.16
1100,0.9999,383.682,5718.44,1100.23
1000,0.9999,418.034,5430.76,1000.27
900,0.99985,365.512,5122.54,900.319
800,0.99985,288.439,4790.79,800.366
700,0.9997,333.089,4431.39,700.43
600,0.99935,379.632,4038.5,600.522
500,0.9988,451.092,3605.67,500.603
400,0.99845,553.27,3121.81,400.749
300,0.9965,719.031,2571.66,300.945
250,0.9946,851.731,2263.62,251.067
200,0.9902,1043.41,1928.88,201.262
180,0.9879,1142.55,1785.92,181.339
160,0.98405,1282.56,1636.99,161.469
140,0.97955,1434.44,1481.16,141.605
120,0.97285,1647.74,1318.4,121.788
100,0.96095,1941.68,1147.25,101.998
90,0.95405,2131.21,1058.83,92.185
80,0.94445,2367.95,966.625,82.302
70,0.933,2652.61,873.303,72.5535
60,0.9171,3032.41,776.564,62.8295
55,0.90595,3280.89,727.042,57.978
50,0.8929,3585.19,676.376,53.0895
45,0.8801,3863.45,626.279,48.341
40,0.86185,4254.73,575.187,43.612
35,0.83875,4737.38,523.048,38.873
30,0.8245,5056.52,492.182,36.115
25,0.8245,5030.71,492.182,36.115
20,0.8245,5066.5,492.182,36.115
15,0.8245,5058.78,492.182,36.115
10,0.8245,5057,492.182,36.115
