Loaded fvecs: 200 vectors of dimension 192 from ./quantile_partitions/yfcc_overlap/yfcc_overlap_Q2_query.fvecs
Loaded label sets: 200
Loaded label sets: 1000000
Loaded fvecs: 1000000 vectors of dimension 192 from /root/work/data/filterbenchmark/yfcc/yfcc_base.fvecs
Rebuilding two-tier inverted index for 636322 labelsets...
Found 65521 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1318 labels (freq >= 685)
  Tier 2 (sparse): 64203 labels
  Tier 1 memory: 0.0976389 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
910984,648107,374379,193070,787061,132172,720116,496918,657581,329387,
ef,recall,qps,dist_comp,hops
1700,0.985,171.382,15434.1,1702.69
1400,0.9825,206.436,13106.9,1405.01
1100,0.981,259.115,10660,1105.81
1000,0.979,284.28,9819.41,1006.86
900,0.9775,314.341,8960.92,908.11
800,0.9725,349.876,8085.85,809.48
700,0.9665,397.333,7200.56,711.12
600,0.9635,457.573,6294.02,612.79
500,0.9515,542.836,5355.3,510.375
400,0.944,668.635,4396.96,408.875
300,0.9285,869.577,3406.22,308.32
250,0.921,1025.86,2899.49,259.02
200,0.8925,1256.86,2372.38,206.75
180,0.8865,1380.45,2167.26,187.055
160,0.8825,1525.47,1959.13,167.385
140,0.8655,1709.89,1744.99,146.995
120,0.8445,1943.75,1532.7,126.885
100,0.821,2203.81,1316.11,107.28
90,0.8125,2445.18,1207.12,97.52
80,0.8015,2686.27,1097.16,87.555
70,0.7875,2951.19,990.01,78.085
60,0.763,3292.12,881.795,68.56
55,0.753,3504.83,827.775,63.855
50,0.741,3751.67,770.175,58.865
45,0.731,4032.94,714.72,54.155
40,0.7185,4316.98,658.445,49.43
35,0.7005,4737.22,598.83,44.425
30,0.6905,4993.66,564.855,41.58
25,0.6905,4978.37,564.855,41.58
20,0.6905,4992.21,564.855,41.58
15,0.6905,5012.83,564.855,41.58
10,0.6905,5004.56,564.855,41.58
