Loaded fvecs: 200 vectors of dimension 128 from ./quantile_partitions/ytb_audio_containment/ytb_audio_containment_Q4_query.fvecs
Loaded label sets: 200
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
3147426,4189374,3818620,4151854,4745088,830172,3068994,1177442,1731052,1880477,
ef,recall,qps,dist_comp,hops
1700,0.962,165.257,12641.9,1700.91
1400,0.9555,200.75,10992.7,1401.12
1100,0.9495,251.738,9145.44,1101.36
1000,0.9475,274.784,8481.62,1001.49
900,0.946,301.689,7782.06,901.56
800,0.94,334.967,7046.69,801.73
700,0.9325,380.128,6287.91,702.275
600,0.9275,439.155,5476.77,602.265
500,0.9155,519.966,4644.02,502.745
400,0.911,638.85,3788.42,403.73
300,0.893,830.371,2903.65,304.415
250,0.885,977.156,2459.89,255.275
200,0.8755,1193.17,2005.47,205.935
180,0.8665,1308.41,1829.83,186.505
160,0.8595,1426.32,1650.43,166.77
140,0.8465,1532.69,1466.52,147.09
120,0.8325,1719.69,1286.88,127.73
100,0.823,1969.42,1119.63,109.165
90,0.8145,2195.38,1032.12,99.505
80,0.803,2371.88,943.6,89.72
70,0.7955,2692.34,855.61,80.115
60,0.7805,3085.04,771.49,70.575
55,0.7725,3292.46,725.015,65.605
50,0.767,3526.99,686.745,61.25
45,0.7535,3784.7,638.625,56.045
40,0.735,4194.28,586.8,50.57
35,0.7175,4583.46,540.715,45.56
30,0.71,4879.93,515.58,42.855
25,0.71,4863.81,515.58,42.855
20,0.71,4883.88,515.58,42.855
15,0.71,4688.78,515.58,42.855
10,0.71,4586.09,515.58,42.855
