Loaded fvecs: 200 vectors of dimension 128 from ./quantile_partitions/ytb_audio_overlap/ytb_audio_overlap_Q4_query.fvecs
Loaded label sets: 200
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
545517,423266,1150108,610390,579348,2849743,4804012,277126,4713660,2797811,
ef,recall,qps,dist_comp,hops
1700,0.929,143.96,18868.2,1705.46
1400,0.924,176.896,15650,1405.83
1100,0.913,223.563,12449.5,1106.9
1000,0.91,245.734,11383,1007.05
900,0.9085,270.915,10326.5,907.755
800,0.905,304.514,9262.27,807.84
700,0.8995,344.322,8208.55,708.935
600,0.891,396.084,7133.87,609.32
500,0.8805,475.325,6054.85,509.81
400,0.87,587.157,4963.02,410.375
300,0.8515,755.328,3858.89,311.455
250,0.842,892.219,3298.8,262.025
200,0.83,1099.21,2729.25,212.82
180,0.823,1212.3,2498.68,193.13
160,0.8105,1344.27,2253.84,172.48
140,0.7975,1509.01,2018.53,152.73
120,0.7855,1721.92,1783.81,133.215
100,0.7745,2002.4,1543.41,113.56
90,0.766,2183.71,1416.98,103.425
80,0.754,2401.65,1295.93,93.77
70,0.731,2683.43,1162.17,83.11
60,0.7115,3019.05,1033.49,73.05
55,0.7035,3224.73,969.975,68.155
50,0.695,3462.82,903.435,63.07
45,0.679,3718.26,842.47,58.265
40,0.667,4064.06,774.98,53.26
35,0.637,4519.32,702.585,47.765
30,0.626,4804.79,662.78,44.805
25,0.626,4804.72,662.78,44.805
20,0.626,4778.96,662.78,44.805
15,0.626,4815.34,662.78,44.805
10,0.626,4793.77,662.78,44.805
