Loaded fvecs: 40 vectors of dimension 1024 from ./quantile_partitions/ytb_video_overlap/ytb_video_overlap_Q5_query.fvecs
Loaded label sets: 40
Loaded label sets: 1000000
Loaded fvecs: 1000000 vectors of dimension 1024 from /root/work/data/filterbenchmark/ytb_video/ytb_video_base.fvecs
Rebuilding two-tier inverted index for 160018 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 3862 labels (freq >= 2)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 0.0719641 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 40
Example: first query has 10
540755,995488,716934,587690,517956,455939,676779,705186,989539,951281,
ef,recall,qps,dist_comp,hops
1700,0.7025,49.9192,35640.2,1701.92
1400,0.675,60.8156,29598.5,1402.72
1100,0.6325,77.4949,23447.4,1102.58
1000,0.6225,85.2575,21386.5,1003.58
900,0.61,94.8177,19273.5,903.625
800,0.59,105.44,17168.3,804.875
700,0.5675,122.156,15105.2,707.525
600,0.515,142.4,13006.4,607.525
500,0.49,171.336,10856.8,508.175
400,0.4525,213.22,8804.1,409.925
300,0.4075,279.341,6783.1,314.6
250,0.365,337.461,5663.27,261.25
200,0.3325,416.505,4578.48,210.8
180,0.33,459.978,4222.18,194.1
160,0.315,510.069,3832.05,175.575
140,0.3075,581.188,3389.82,154.8
120,0.25,681.852,2930.47,130.725
100,0.22,818.39,2452,109.025
90,0.2175,892.161,2264.15,100.3
80,0.21,994.697,2041.75,89.825
70,0.2075,1109.18,1852.67,81.225
60,0.205,1266.92,1630.58,71.275
55,0.2025,1359.43,1529.78,66.65
50,0.1975,1476.89,1382.9,60.125
45,0.195,1608.49,1273.53,55.15
40,0.19,1790.75,1152.85,49.825
35,0.185,1967.73,1062.58,45.675
30,0.18,2121.49,976.325,41.875
25,0.18,2037.55,976.325,41.875
20,0.18,2036.71,976.325,41.875
15,0.18,2041.65,976.325,41.875
10,0.18,2042.48,976.325,41.875
